channel_name,channel_id,category,batch
holistischegesundheitheilung,1168834606,esoterik,2
iamalovingone,1188298257,esoterik,2
ichbinverbunden,1290751416,esoterik,2
inakarbgmbh,1205697017,esoterik,2
inspirationundaktion,1430708693,esoterik,2
irlmaier,1489382658,esoterik,2
jensnobis,1352380934,esoterik,2
koerperkulturistik,1310081588,esoterik,2
kraeuterkeller,1224723099,esoterik,2
krahea,1337357173,esoterik,2
kruterhexe,1436214731,esoterik,2
kulturelleentwicklungshilfe,2361052141,esoterik,2
lebedeinegesundheit_pdf,1789500982,esoterik,2
lichtseelenkanal,1180272952,esoterik,2
lichtweltverlag,1453056609,esoterik,2
liebeisstleben,1289996277,esoterik,2
loesungsweg,1153521914,esoterik,2
loewentatze,1218241824,esoterik,2
maraswelt,1405039768,esoterik,2
masernschutzgesetz,1391941171,esoterik,2
matrixcoaching1,1218473861,esoterik,2
medizinischeschlordioxidseminar,1447238249,esoterik,2
missiongesundheit,1427006051,esoterik,2
miteinanderhauptkanal,1287151408,esoterik,2
nanoapi,1473522927,esoterik,2
neue_erde,1344048055,esoterik,2
neuhauspeter,1238128773,esoterik,2
neuland_funk,1333712681,esoterik,2
neustart_jetzt,1471497883,esoterik,2
nityatelegram,1421677663,esoterik,2
orania_treff,1305315232,esoterik,2
perlendestages,1785564520,esoterik,2
positive_impulse,1346932418,esoterik,2
qs24_tv,1232522469,esoterik,2
rezepteausnaturundselbstgemacht,1706475772,esoterik,2
riesen_tartaria,1342052850,esoterik,2
rohveganamlimit,1304138804,esoterik,2
ronny_rockt_offiziell,1465658372,esoterik,2
ruedigerdahlke,1350155112,esoterik,2
scharfschuetzenbewegung1,1483907906,esoterik,2
schoepferinsel,1361331301,esoterik,2
schumannfrequenz,1804778300,esoterik,2
seelenfischer0,1182368886,esoterik,2
seelenleuchtturm,1460332213,esoterik,2
sheddingopferschweiz,1468686452,esoterik,2
silentmind0013,1284502124,esoterik,2
silkeschaefer,1241486061,esoterik,2
sironjastv,1268221203,esoterik,2
sonschat,1226317730,esoterik,2
stayfreetv,1445898590,esoterik,2
sunevonews,1431454479,esoterik,2
tageshoroskop_astrowolf,2064186337,esoterik,2
tangsworld,1187530605,esoterik,2
tao_theorieallerordnung,1115695186,esoterik,2
teslaschaubergerreich,1375147150,esoterik,2
weden_asatru_kanal,1444623354,esoterik,2
weltdergesundheittv,1407170411,esoterik,2
wjatscheslawseewald,1302310763,esoterik,2
aerzte,2366161657,corona_desinformation,2
aerztefueraufklaerung,1332209493,corona_desinformation,2
aerztefueraufklaerungoffiziell,1470737768,corona_desinformation,2
aletheia_infokanal,1459441044,corona_desinformation,2
allemenschensindwillkommen,1526606775,corona_desinformation,2
allesindwillkommen_de,1577372747,corona_desinformation,2
analysesterbedatendeutschland,1446544444,corona_desinformation,2
anjaskanal,1425689290,corona_desinformation,2
antimain_stream,1166210140,corona_desinformation,2
antoinerichard_official,1279254880,corona_desinformation,2
anwaelte_fuer_aufklaerung,1216785261,corona_desinformation,2
comusav_dach,1492924665,corona_desinformation,2
corona7986,1268319475,corona_desinformation,2
corona_ausschuss_klarstellungen,1554925375,corona_desinformation,2
corona_fakten,1378347648,corona_desinformation,2
corona_fakten_video_backup,1264670715,corona_desinformation,2
corona_impfschaden,1369024636,corona_desinformation,2
corona_nachgedacht,1490011348,corona_desinformation,2
corona_reset,1413279288,corona_desinformation,2
coronaausschussalleanhoerungen,1375792189,corona_desinformation,2
coronadatencheck,1249895240,corona_desinformation,2
coronaimpfschaedendeutschland,1281618223,corona_desinformation,2
coronainfokanal,1613807751,corona_desinformation,2
coronainfoschweiz,1326779723,corona_desinformation,2
coronakinderfilm,1531842362,corona_desinformation,2
coronakult,1447383668,corona_desinformation,2
coronaobjektiv,1340248544,corona_desinformation,2
coronasatanismus,1358103242,corona_desinformation,2
coronatransition,1474710376,corona_desinformation,2
coronawahrheit,1211665686,corona_desinformation,2
coronawiderstand17,1211781873,corona_desinformation,2
covid19_austausch,1723618365,corona_desinformation,2
covidfakten,1171206322,corona_desinformation,2
covidiotentv,1446390470,corona_desinformation,2
covidniedersachsen,1420098106,corona_desinformation,2
datenanalyseprogrammieren,1454397899,corona_desinformation,2
dmso_archiv,1451028953,corona_desinformation,2
dralinalessenich,1407083192,corona_desinformation,2
drspitzbart,1414799130,corona_desinformation,2
drthbi,1384373882,corona_desinformation,2
drwolfgangwodarg,1569339170,corona_desinformation,2
efauf_newsletter,1210718641,corona_desinformation,2
ehgartner,1446351705,corona_desinformation,2
einladungzumkanal,1511370085,corona_desinformation,2
einwandfreitv,1474721226,corona_desinformation,2
elsacoronafant,1379457057,corona_desinformation,2
frifreidem,1229823412,corona_desinformation,2
fuehrungskraft_mit_herz,1576901472,corona_desinformation,2
gesundheiternaehrung,1196349400,corona_desinformation,2
gesundheitslehrer,1334978033,corona_desinformation,2
gesundheitswesen_in_der_krise,1323284853,corona_desinformation,2
hannigrecht,1166992379,corona_desinformation,2
haraldthiers,1343940759,corona_desinformation,2
heiko_schoening,1138620911,corona_desinformation,2
icicommittee22,1843834487,corona_desinformation,2
impfauswahl,1489566232,corona_desinformation,2
impfdichinsknie,1790950810,corona_desinformation,2
impfen_nein_danke,1440393212,corona_desinformation,2
impffreiwork,1419335165,corona_desinformation,2
impffreiworkjobs,1417281971,corona_desinformation,2
impfkritischkanal,1441036193,corona_desinformation,2
impfopferarchiv,1754995261,corona_desinformation,2
impfschaden_d_aut_ch,1464050456,corona_desinformation,2
impfschadencorona,1376154891,corona_desinformation,2
impfschadencoronavirus,1518253882,corona_desinformation,2
impfschaede,1638432660,corona_desinformation,2
impfung2019,1434819268,corona_desinformation,2
infos_aufrufe_gesundheitswesen,1391031986,corona_desinformation,2
jobzoid,1513776299,corona_desinformation,2
kaistuht,1171047530,corona_desinformation,2
klagepaten_eu,1475130182,corona_desinformation,2
klagepatenelterninfo,1221619031,corona_desinformation,2
kulturstudio,1474793502,corona_desinformation,2
lockdownviehler,1227574204,corona_desinformation,2
mahumo21,1340870491,corona_desinformation,2
marcelbarzbackup,1539473041,corona_desinformation,2
martinrutter,1468476828,corona_desinformation,2
maskenverbot,1154355428,corona_desinformation,2
maskforceanwaelte,1465648898,corona_desinformation,2
miteinander_mutig_sein,1393190828,corona_desinformation,2
mwgfd_kanal,1460904959,corona_desinformation,2
nanopartikel_ausleiten,1597338955,corona_desinformation,2
netzwerk_demokratie,1443099133,corona_desinformation,2
netzwerkkritischerexperten,1409383426,corona_desinformation,2
paragraph32,1759981208,corona_desinformation,2
pathologiekonferenz,1729194195,corona_desinformation,2
pressecop24,1355481706,corona_desinformation,2
profhockertz,1472354886,corona_desinformation,2
projekt_immanuel,1157867431,corona_desinformation,2
ra_roehrig,1722356021,corona_desinformation,2
real_hero_official,1324165373,corona_desinformation,2
reinerfuellmich_multimedia,1336846209,corona_desinformation,2
rn51mhi82kyzody0,1364757244,corona_desinformation,2
rolf_kron,1376661149,corona_desinformation,2
sammlungvontodundschaedendurchco,1529216063,corona_desinformation,2
sca_videos,1568550371,corona_desinformation,2
skambraks,1556075799,corona_desinformation,2
soldatengrundgesetz,1578143925,corona_desinformation,2
sonnebergzeigtgesicht,1323559650,corona_desinformation,2
stefanhomburg,1343539093,corona_desinformation,2
sucharitbhakdi,1267924666,corona_desinformation,2
tkp_news,1388428002,corona_desinformation,2
verborgenewahrheit,1228104448,corona_desinformation,2
vorsicht_impfarzt,1205739608,corona_desinformation,2
weggespritzt,1951587285,corona_desinformation,2
wirmachenauf_de,1464656565,corona_desinformation,2
wirstreiken,1422485775,corona_desinformation,2
zwanzig4,1483871602,corona_desinformation,2
